Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,AllInputToPhotonLatency,ClickToPhotonLatency
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,811.8411,16.7905,16.6454,0.1451,0.2847,16.8608,0.6969,16.1639,32.5871,16.6837,-0.1224,811.8411,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,779.3218,16.6871,16.4181,0.2690,32.8226,16.1095,0.7799,15.3296,65.1071,16.6838,0.1847,779.3218,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,828.6316,16.5613,16.4288,0.1325,0.3550,16.4983,0.6676,15.8307,32.4803,16.6889,0.1068,828.6316,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,796.0089,16.2353,16.0647,0.1706,33.2389,15.7097,0.5941,15.1156,65.1038,16.6891,0.0033,796.0089,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,845.1929,16.7672,16.6199,0.1473,0.2920,16.8572,0.5518,16.3054,32.6079,16.7258,-0.1276,845.1929,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,812.2442,17.2723,16.9067,0.3656,33.5669,16.3202,0.5919,15.7283,65.5576,16.7256,-0.4538,812.2442,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,861.9601,16.9602,16.7836,0.1766,0.3820,16.8063,0.5201,16.2862,32.5665,16.6504,0.0414,861.9601,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,829.5165,16.5060,16.1587,0.3473,33.0470,15.8218,0.5792,15.2426,65.0109,16.6505,0.5467,829.5165,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,878.9203,16.9913,16.7880,0.2033,0.2281,16.9253,0.5671,16.3582,32.2567,16.5968,0.3098,878.9203,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,846.0225,16.7477,16.3984,0.3493,33.5690,16.0287,0.4580,15.5707,65.1554,16.5967,-0.1445,846.0225,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,895.9116,16.1236,15.9662,0.1574,0.1621,16.2552,0.5532,15.7020,31.8622,16.6657,0.3945,895.9116,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,862.7702,16.9704,16.6074,0.3630,33.9412,15.0241,0.5884,14.4357,65.0044,16.6654,0.1510,862.7702,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,912.0352,16.4299,16.3021,0.1278,0.2937,16.4345,0.5924,15.8421,32.4043,16.6778,-0.5421,912.0352,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,879.7406,17.1986,16.8028,0.3958,32.7521,16.1426,0.5024,15.6402,64.6994,16.6778,0.3050,879.7406,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,928.4651,16.9124,16.7698,0.1426,0.2983,19.4772,0.6752,18.8020,32.6522,16.7013,-0.2479,928.4651,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,896.9392,15.6764,15.4522,0.2242,31.8890,19.8434,1.3672,18.4762,64.1786,16.7012,0.5208,896.9392,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,945.3775,16.5294,16.4335,0.0959,2.8631,13.9087,0.4369,13.4718,32.4411,16.6551,0.2111,945.3775,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,912.6156,16.2967,16.1566,0.1401,48.6144,0.3738,0.3738,0.0000,65.2034,16.6552,-1.0248,912.6156,NA,NA
